TEAM0,TEAM1,TEAM0_WIN,GP_DIFF,W_DIFF,L_DIFF,MIN_DIFF,FGM_DIFF,FGA_DIFF,FG_PCT_DIFF,FG3M_DIFF,FG3A_DIFF,FG3_PCT_DIFF,FTM_DIFF,FTA_DIFF,FT_PCT_DIFF,OREB_DIFF,DREB_DIFF,REB_DIFF,AST_DIFF,TOV_DIFF,STL_DIFF,BLK_DIFF,BLKA_DIFF,PF_DIFF,PFD_DIFF,PTS_DIFF,PLUS_MINUS_DIFF,GP_RANK_DIFF,W_RANK_DIFF,L_RANK_DIFF,MIN_RANK_DIFF,FGM_RANK_DIFF,FGA_RANK_DIFF,FG_PCT_RANK_DIFF,FG3M_RANK_DIFF,FG3A_RANK_DIFF,FG3_PCT_RANK_DIFF,FTM_RANK_DIFF,FTA_RANK_DIFF,FT_PCT_RANK_DIFF,OREB_RANK_DIFF,DREB_RANK_DIFF,REB_RANK_DIFF,AST_RANK_DIFF,TOV_RANK_DIFF,STL_RANK_DIFF,BLK_RANK_DIFF,BLKA_RANK_DIFF,PF_RANK_DIFF,PFD_RANK_DIFF,PTS_RANK_DIFF,PLUS_MINUS_RANK_DIFF
Cleveland Cavaliers,Philadelphia 76ers,1,0,40,-40,-10.0,398,276,0.03699999999999998,262,351,0.04199999999999998,-47,-51,-0.0040000000000000036,65,395,460,403,-35.0,-82,-16,-59,-69,23,1011,1293.0,0,-24,-24,9,-22,-16,-21,-19,-13,-25,8,6,2,-9,-25,-24,-20,-6,9,4,-11,-8,-6,-25,-23
Phoenix Suns,Cleveland Cavaliers,0,0,-28,28,15.0,-271,-369,-0.013000000000000012,-127,-289,-0.0050000000000000044,-13,-91,0.03400000000000003,-134,-105,-239,-27,71.0,-77,42,-32,-16,-44,-682,-1028.0,0,19,19,-12,14,19,9,5,8,1,3,7,-15,15,13,19,1,12,14,-11,-5,-1,9,17,21
Portland Trail Blazers,Cleveland Cavaliers,0,0,-28,28,5.0,-327,-48,-0.04099999999999998,-246,-306,-0.04099999999999998,-6,27,-0.014000000000000012,178,-230,-52,-352,227.0,8,83,92,71,28,-906,-1026.0,0,19,19,-4,19,2,24,17,10,24,1,-3,9,-11,22,6,18,26,-3,-19,18,10,-8,21,20
Sacramento Kings,Cleveland Cavaliers,0,0,-24,24,25.0,-123,-59,-0.013000000000000012,-271,-514,-0.026000000000000023,8,-55,0.030000000000000027,-16,-83,-99,-135,10.0,-50,7,-11,61,-38,-509,-743.0,0,14,14,-16,5,3,10,21,20,17,-2,4,-13,3,9,10,4,3,11,-2,-3,6,8,9,14
Cleveland Cavaliers,San Antonio Spurs,1,0,30,-30,5.0,226,82,0.025999999999999968,145,155,0.026000000000000023,60,72,0.0020000000000000018,21,121,142,-44,-56.0,-3,-105,5,124,125,657,1008.0,0,-21,-21,-5,-10,-8,-15,-7,-3,-18,-9,-6,-4,-4,-16,-13,3,-7,2,23,1,8,-17,-15,-19
Toronto Raptors,Cleveland Cavaliers,0,0,-34,34,10.0,-238,18,-0.032999999999999974,-334,-615,-0.03500000000000003,-98,-64,-0.028000000000000025,117,-140,-23,36,175.0,-6,-2,123,251,-69,-908,-1134.0,0,22,22,-9,11,-1,18,27,24,21,13,5,12,-9,19,4,-2,21,2,1,21,19,13,22,22
Cleveland Cavaliers,Utah Jazz,1,0,47,-47,-10.0,347,172,0.03699999999999998,159,134,0.03300000000000003,-29,-43,0.0020000000000000018,-66,65,-1,211,-330.0,115,-10,-166,-62,-27,824,1548.0,0,-28,-28,9,-21,-13,-20,-8,-2,-20,7,5,-5,5,-6,1,-11,-27,-16,3,-22,-7,7,-20,-26
Washington Wizards,Cleveland Cavaliers,0,0,-46,46,-5.0,-419,-73,-0.05199999999999999,-228,-191,-0.04799999999999999,-77,-103,0.0020000000000000018,-50,-90,-140,-246,194.0,-47,70,67,131,-63,-1143,-1802.0,0,27,27,5,23,5,26,15,5,27,10,10,-1,8,10,12,16,24,9,-16,13,13,10,26,28
Denver Nuggets,Dallas Mavericks,1,0,11,-11,25.0,281,166,0.027000000000000024,-36,-182,0.01200000000000001,12,15,0.0,91,130,221,472,18.0,20,-43,45,-14,30,538,417.0,0,-12,-12,-19,-12,-5,-9,2,4,-10,-2,-5,-1,-12,-14,-19,-21,4,-4,8,7,-2,-7,-12,-10
Detroit Pistons,Dallas Mavericks,1,0,5,-5,15.0,60,169,-0.0030000000000000027,31,100,-0.0020000000000000018,-44,-68,0.0040000000000000036,103,37,140,95,67.0,16,-14,38,237,19,107,254.0,0,-4,-4,-14,-3,-7,3,-6,-4,2,5,5,-4,-13,-5,-10,-7,8,-2,2,5,19,-3,-3,-6
Dallas Mavericks,Golden State Warriors,1,0,-9,9,0.0,101,-218,0.02799999999999997,-244,-674,0.0,75,83,0.006000000000000005,-201,10,-191,-316,-1.0,-135,54,-66,-113,9,33,-369.0,0,7,7,0,-8,13,-15,22,24,-1,-11,-7,-1,19,-2,16,18,-1,17,-10,-12,-15,-2,-2,9
Dallas Mavericks,Houston Rockets,0,0,-13,13,-10.0,-41,-465,0.023999999999999966,-18,-137,0.01100000000000001,92,43,0.03200000000000003,-372,-72,-444,156,12.0,-53,34,-92,-99,-45,-8,-468.0,0,14,14,9,2,20,-11,4,6,-6,-14,-2,-6,23,9,22,-6,2,11,-6,-16,-12,11,2,12
Dallas Mavericks,Indiana Pacers,0,0,-11,11,-25.0,-131,-132,-0.009000000000000008,-61,-133,-0.0040000000000000036,63,126,-0.019000000000000017,76,24,100,-328,69.0,-58,-3,9,-75,-9,-260,-281.0,0,12,12,19,8,4,7,10,5,6,-8,-12,15,-5,-5,-5,19,10,12,1,2,-7,1,8,7
Dallas Mavericks,LA Clippers,1,0,-11,11,-15.0,34,119,-0.0030000000000000027,-2,63,-0.009000000000000008,42,118,-0.027000000000000024,-13,-48,-61,6,-69.0,-137,75,23,-45,74,108,-480.0,0,12,12,14,-4,-5,4,1,-3,8,-4,-11,17,1,7,6,-1,-9,18,-13,6,-6,-10,-5,13
Los Angeles Lakers,Dallas Mavericks,0,0,11,-11,0.0,-87,-187,0.0,72,180,0.0020000000000000018,36,8,0.015000000000000013,-36,-15,-51,61,-6.0,-3,-78,-31,-43,44,-66,198.0,0,-12,-12,0,7,9,-1,-11,-7,-1,-4,-3,-11,3,3,3,-4,-1,1,15,-8,-3,-10,4,-5
Memphis Grizzlies,Dallas Mavericks,1,0,9,-9,-5.0,227,460,0.0,121,305,0.0030000000000000027,41,14,0.016000000000000014,228,117,345,260,134.0,90,17,75,253,121,616,496.0,0,-7,-7,6,-11,-19,-2,-15,-13,-4,-5,-4,-12,-21,-13,-21,-14,15,-14,-4,13,21,-14,-13,-14
Miami Heat,Dallas Mavericks,0,0,-2,2,40.0,-125,-56,-0.013999999999999957,104,259,0.0030000000000000027,-149,-240,0.02100000000000002,-30,58,28,96,-37.0,32,-131,7,-183,-142,-295,144.0,0,2,2,-22,11,3,8,-14,-10,-3,20,21,-16,2,-8,-2,-8,-5,-6,23,1,-7,13,9,-4
Dallas Mavericks,Milwaukee Bucks,0,0,-9,9,-5.0,-2,112,-0.007000000000000006,-141,-202,-0.02300000000000002,37,-1,0.020000000000000018,154,-180,-26,-20,54.0,35,61,60,-11,-20,-108,-301.0,0,7,7,5,1,-4,6,18,8,14,-2,1,-4,-6,15,1,1,6,-6,-12,10,-1,4,4,8
Dallas Mavericks,Minnesota Timberwolves,0,0,-10,10,-20.0,79,12,0.010999999999999954,-213,-468,-0.013000000000000012,47,105,-0.019000000000000017,-80,-24,-104,-72,-35.0,-18,39,7,-40,-39,-8,-508.0,0,8,8,17,-6,-1,-6,21,21,11,-6,-10,14,9,4,8,5,-5,3,-7,1,-4,9,2,15
New Orleans Pelicans,Dallas Mavericks,0,0,-18,18,5.0,-111,174,-0.02699999999999997,-34,38,-0.017000000000000015,-102,-95,-0.016000000000000014,165,-119,46,49,50.0,65,-16,53,41,-61,-358,-675.0,0,9,9,-5,9,-8,14,1,-1,9,16,8,3,-17,9,-3,-3,6,-13,3,9,5,9,10,10
New York Knicks,Dallas Mavericks,1,0,12,-12,30.0,110,121,0.007000000000000006,11,-7,0.0050000000000000044,-101,-198,0.030000000000000027,62,-95,-33,184,-63.0,35,-121,31,-51,22,130,434.0,0,-13,-13,-21,-6,-3,-5,-2,1,-7,15,17,-19,-5,8,1,-11,-8,-8,22,4,-4,-6,-6,-11
Oklahoma City Thunder,Dallas Mavericks,1,0,29,-29,-5.0,217,406,0.0030000000000000027,172,383,0.010000000000000009,-89,-222,0.04899999999999993,43,99,142,132,-190.0,211,20,17,173,-47,517,1153.0,0,-17,-17,6,-10,-18,-3,-20,-16,-9,13,20,-23,-4,-11,-12,-10,-12,-20,-5,2,17,7,-11,-18
Dallas Mavericks,Orlando Magic,1,0,-2,2,0.0,313,160,0.033999999999999975,99,-91,0.045999999999999985,-6,4,-0.0050000000000000044,-86,185,99,183,-14.0,-93,-43,14,-190,-134,719,-88.0,0,3,3,0,-16,-8,-17,-4,3,-15,1,-1,5,10,-11,-4,-8,-3,15,6,4,-18,15,-13,2
Philadelphia 76ers,Dallas Mavericks,0,0,-15,15,15.0,-189,-26,-0.024999999999999967,21,249,-0.022999999999999965,-19,-50,0.010000000000000009,24,-291,-267,-169,-34.0,116,-79,45,98,-2,-376,-413.0,0,8,8,-14,13,2,13,-5,-9,12,1,3,-9,-2,13,7,7,-4,-16,16,7,11,1,11,6
Dallas Mavericks,Phoenix Suns,1,0,3,-3,-20.0,62,119,0.0010000000000000009,-156,-311,-0.014000000000000012,79,192,-0.040000000000000036,45,1,46,-207,-2.0,43,53,46,-13,23,47,148.0,0,-3,-3,17,-5,-5,-1,19,14,12,-12,-16,22,-4,-1,-2,12,-2,-7,-9,9,-2,-4,-3,-4
Dallas Mavericks,Portland Trail Blazers,1,0,3,-3,-10.0,118,-202,0.02899999999999997,-37,-294,0.021999999999999964,72,74,0.008000000000000007,-267,126,-141,118,-158.0,-42,12,-78,-100,-49,271,146.0,0,-3,-3,9,-10,12,-16,7,12,-11,-10,-6,-2,22,-10,11,-5,-16,10,-1,-14,-13,13,-7,-3
Dallas Mavericks,Sacramento Kings,0,0,-1,1,-30.0,-86,-191,0.0010000000000000009,-12,-86,0.007000000000000006,58,156,-0.03600000000000003,-73,-21,-94,-99,59.0,16,88,25,-90,17,-126,-137.0,0,2,2,21,4,11,-2,3,2,-4,-7,-13,20,8,3,7,9,7,-4,-18,7,-9,-3,5,3
Dallas Mavericks,San Antonio Spurs,1,0,5,-5,0.0,17,-168,0.013999999999999957,-138,-445,0.007000000000000006,126,173,-0.0040000000000000036,-68,17,-51,-278,13.0,-37,-10,19,95,104,22,128.0,0,-5,-5,0,-1,6,-7,17,19,-5,-18,-15,3,7,-4,4,16,3,9,3,5,5,-12,-1,-2
Dallas Mavericks,Toronto Raptors,1,0,9,-9,-15.0,29,-268,0.020999999999999963,51,15,0.016000000000000014,164,165,0.02200000000000002,-206,36,-170,-270,-106.0,-28,97,-109,-280,48,273,254.0,0,-6,-6,14,-2,15,-10,-3,-2,-8,-22,-14,-5,20,-7,13,15,-11,5,-21,-17,-22,-8,-8,-5
Dallas Mavericks,Utah Jazz,1,0,22,-22,-15.0,138,-78,0.024999999999999967,-124,-466,0.014000000000000012,37,58,-0.0040000000000000036,-155,-39,-194,-23,-261.0,81,85,-152,-91,-48,189,668.0,0,-12,-12,14,-12,1,-12,16,20,-7,-2,-4,2,16,6,18,2,-17,-9,-17,-18,-10,12,-6,-9
Washington Wizards,Dallas Mavericks,0,0,-21,21,0.0,-210,177,-0.03999999999999998,55,409,-0.02899999999999997,-143,-204,0.008000000000000007,39,14,53,-12,125.0,-13,-25,53,160,-42,-508,-922.0,0,11,11,0,14,-9,18,-9,-17,14,19,19,-8,-3,-2,-5,3,14,2,4,9,16,5,12,11
Detroit Pistons,Denver Nuggets,0,0,-6,6,-10.0,-221,3,-0.030000000000000027,67,282,-0.014000000000000012,-56,-83,0.0040000000000000036,12,-93,-81,-377,49.0,-4,29,-7,251,-11,-431,-163.0,0,8,8,5,9,-2,12,-8,-8,12,7,10,-3,-1,9,9,14,4,2,-6,-2,21,4,9,4
Denver Nuggets,Golden State Warriors,1,0,2,-2,25.0,382,-52,0.05499999999999999,-280,-856,0.01200000000000001,87,98,0.006000000000000005,-110,140,30,156,17.0,-115,11,-21,-127,39,571,48.0,0,-5,-5,-19,-20,8,-24,24,28,-11,-13,-12,-2,7,-16,-3,-3,3,13,-2,-5,-17,-9,-14,-1
Houston Rockets,Denver Nuggets,0,0,2,-2,-15.0,-240,299,-0.05099999999999999,54,319,-0.02300000000000002,-104,-58,-0.03200000000000003,281,-58,223,-628,-30.0,33,9,47,113,15,-530,51.0,0,-2,-2,10,10,-15,20,-6,-10,16,16,7,7,-11,5,-3,27,-6,-7,-2,9,14,-4,10,-2
Indiana Pacers,Denver Nuggets,0,0,0,0,0.0,-150,-34,-0.018000000000000016,97,315,-0.008000000000000007,-75,-141,0.019000000000000017,-167,-154,-321,-144,-87.0,38,46,-54,89,-21,-278,-136.0,0,0,0,0,4,1,2,-12,-9,4,10,17,-14,17,19,24,2,-14,-8,-9,-9,9,6,4,3
Denver Nuggets,LA Clippers,1,0,0,0,10.0,315,285,0.02400000000000002,-38,-119,0.0030000000000000027,54,133,-0.027000000000000024,78,82,160,478,-51.0,-117,32,68,-59,104,646,-63.0,0,0,0,-5,-16,-10,-5,3,1,-2,-6,-16,16,-11,-7,-13,-22,-5,14,-5,13,-8,-17,-17,3
Denver Nuggets,Los Angeles Lakers,1,0,0,0,25.0,368,353,0.027000000000000024,-108,-362,0.010000000000000009,-24,7,-0.015000000000000013,127,145,272,411,24.0,23,35,76,29,-14,604,219.0,0,0,0,-19,-19,-14,-8,13,11,-9,2,-2,10,-15,-17,-22,-17,5,-5,-7,15,1,3,-16,-5
Denver Nuggets,Memphis Grizzlies,0,0,2,-2,30.0,54,-294,0.027000000000000024,-157,-487,0.009000000000000008,-29,1,-0.016000000000000014,-137,13,-124,212,-116.0,-70,-60,-30,-267,-91,-78,-79.0,0,-5,-5,-25,-1,14,-7,17,17,-6,3,-1,11,9,-1,2,-7,-11,10,12,-6,-23,7,1,4
Miami Heat,Denver Nuggets,0,0,-13,13,15.0,-406,-222,-0.04099999999999998,140,441,-0.009000000000000008,-161,-255,0.02100000000000002,-121,-72,-193,-376,-55.0,12,-88,-38,-169,-172,-833,-273.0,0,14,14,-3,23,8,17,-16,-14,7,22,26,-15,14,6,17,13,-9,-2,15,-6,-5,20,21,6
Milwaukee Bucks,Denver Nuggets,0,0,-2,2,-20.0,-279,-278,-0.020000000000000018,177,384,0.01100000000000001,-49,-14,-0.020000000000000018,-245,50,-195,-452,-72.0,-55,-18,-105,25,-10,-430,-116.0,0,5,5,14,11,9,3,-20,-12,-4,4,4,5,18,-1,18,20,-10,10,4,-17,3,3,8,2
Minnesota Timberwolves,Denver Nuggets,0,0,-1,1,-5.0,-360,-178,-0.03799999999999998,249,650,0.0010000000000000009,-59,-120,0.019000000000000017,-11,-106,-117,-400,17.0,-2,4,-52,54,9,-530,91.0,0,4,4,2,18,6,15,-23,-25,-1,8,15,-13,3,10,11,16,1,1,-1,-8,6,-2,10,-5
Denver Nuggets,New Orleans Pelicans,1,0,29,-29,20.0,392,-8,0.05399999999999999,-2,-220,0.029000000000000026,114,110,0.016000000000000014,-74,249,175,423,-32.0,-45,-27,-8,-55,91,896,1092.0,0,-21,-21,-14,-21,3,-23,1,5,-19,-18,-13,-4,5,-23,-16,-18,-2,9,5,-2,-7,-16,-22,-20
Denver Nuggets,New York Knicks,1,0,-1,1,-5.0,171,45,0.020000000000000018,-47,-175,0.007000000000000006,113,213,-0.030000000000000027,29,225,254,288,81.0,-15,78,14,37,8,408,-17.0,0,1,1,2,-6,-2,-4,4,3,-3,-17,-22,18,-7,-22,-20,-10,12,4,-14,3,2,-1,-6,1
Oklahoma City Thunder,Denver Nuggets,0,0,18,-18,-30.0,-64,240,-0.02400000000000002,208,565,-0.0020000000000000018,-101,-237,0.04899999999999993,-48,-31,-79,-340,-208.0,191,63,-28,187,-77,-21,736.0,0,-5,-5,25,2,-13,6,-22,-20,1,15,25,-22,8,3,7,11,-16,-16,-13,-5,19,14,1,-8
Denver Nuggets,Orlando Magic,1,0,9,-9,25.0,594,326,0.061,63,-273,0.057999999999999996,6,19,-0.0050000000000000044,5,315,320,655,4.0,-73,-86,59,-204,-104,1257,329.0,0,-9,-9,-19,-28,-13,-26,-2,7,-25,-1,-6,4,-2,-25,-23,-29,1,11,14,11,-20,8,-25,-8
Philadelphia 76ers,Denver Nuggets,0,0,-26,26,-10.0,-470,-192,-0.05199999999999999,57,431,-0.034999999999999976,-31,-65,0.010000000000000009,-67,-421,-488,-641,-52.0,96,-36,0,112,-32,-914,-830.0,0,20,20,5,25,7,22,-7,-13,22,3,8,-8,10,27,26,28,-8,-12,8,0,13,8,23,16
Phoenix Suns,Denver Nuggets,0,0,-14,14,-5.0,-343,-285,-0.028000000000000025,192,493,0.0020000000000000018,-91,-207,0.040000000000000036,-136,-131,-267,-265,-16.0,-63,-10,-91,27,-53,-585,-565.0,0,15,15,2,17,10,10,-21,-18,-2,14,21,-21,16,15,21,9,-2,11,1,-16,4,11,15,14
Portland Trail Blazers,Denver Nuggets,0,0,-14,14,-15.0,-399,36,-0.055999999999999994,73,476,-0.033999999999999975,-84,-89,-0.008000000000000007,176,-256,-80,-590,140.0,22,31,33,114,19,-809,-563.0,0,15,15,10,22,-7,25,-9,-16,21,12,11,3,-10,24,8,26,12,-6,-7,7,15,-6,19,13
Sacramento Kings,Denver Nuggets,0,0,-10,10,5.0,-195,25,-0.028000000000000025,48,268,-0.019000000000000017,-70,-171,0.03600000000000003,-18,-109,-127,-373,-77.0,-36,-45,-70,104,-47,-412,-280.0,0,10,10,-2,8,-6,11,-5,-6,14,9,18,-19,4,11,12,12,-11,8,10,-14,11,10,7,7
San Antonio Spurs,Denver Nuggets,0,0,-16,16,-25.0,-298,2,-0.04099999999999998,174,627,-0.019000000000000017,-138,-188,0.0040000000000000036,-23,-147,-170,-194,-31.0,17,53,-64,-81,-134,-560,-545.0,0,17,17,19,13,-1,16,-19,-23,15,20,20,-2,5,18,15,5,-7,-5,-11,-12,-3,19,13,12
Toronto Raptors,Denver Nuggets,0,0,-20,20,-10.0,-310,102,-0.04799999999999999,-15,167,-0.028000000000000025,-176,-180,-0.02200000000000002,115,-166,-51,-202,88.0,8,-54,64,294,-78,-811,-671.0,0,18,18,5,14,-10,19,1,-2,18,24,19,6,-8,21,6,6,7,-1,13,10,24,15,20,15
Utah Jazz,Denver Nuggets,0,0,-33,33,-10.0,-419,-88,-0.05199999999999999,160,648,-0.026000000000000023,-49,-73,0.0040000000000000036,64,-91,-27,-449,243.0,-101,-42,107,105,18,-727,-1085.0,0,24,24,5,24,4,21,-18,-24,17,4,9,-1,-4,8,1,19,13,13,9,11,12,-5,18,19
Washington Wizards,Denver Nuggets,0,0,-32,32,-25.0,-491,11,-0.067,91,591,-0.04099999999999998,-155,-219,0.008000000000000007,-52,-116,-168,-484,107.0,-33,18,8,174,-72,-1046,-1339.0,0,23,23,19,26,-4,27,-11,-21,24,21,24,-7,9,12,14,24,10,6,-4,2,18,12,24,21
Detroit Pistons,Golden State Warriors,1,0,-4,4,15.0,161,-49,0.024999999999999967,-213,-574,-0.0020000000000000018,31,15,0.010000000000000009,-98,47,-51,-221,66.0,-119,40,-28,124,28,140,-115.0,0,3,3,-14,-11,6,-12,16,20,1,-6,-2,-5,6,-7,6,11,7,15,-8,-7,4,-5,-5,3
Detroit Pistons,Houston Rockets,1,0,-8,8,5.0,19,-296,0.020999999999999963,13,-37,0.009000000000000008,48,-25,0.03600000000000003,-269,-35,-304,251,79.0,-37,20,-54,138,-26,99,-214.0,0,10,10,-5,-1,13,-8,-2,2,-4,-9,3,-10,10,4,12,-13,10,9,-4,-11,7,8,-1,6
Detroit Pistons,Indiana Pacers,0,0,-6,6,-10.0,-71,37,-0.01200000000000001,-30,-33,-0.006000000000000005,19,58,-0.015000000000000013,179,61,240,-233,136.0,-42,-17,47,162,10,-153,-27.0,0,8,8,5,5,-3,10,4,1,8,-3,-7,11,-18,-10,-15,12,18,10,3,7,12,-2,5,1
Detroit Pistons,LA Clippers,1,0,-6,6,0.0,94,288,-0.006000000000000005,29,163,-0.01100000000000001,-2,50,-0.02300000000000002,90,-11,79,101,-2.0,-121,61,61,192,93,215,-226.0,0,8,8,0,-7,-12,7,-5,-7,10,1,-6,13,-12,2,-4,-8,-1,16,-11,11,13,-13,-8,7
Los Angeles Lakers,Detroit Pistons,0,0,6,-6,-15.0,-147,-356,0.0030000000000000027,41,80,0.0040000000000000036,80,76,0.01100000000000001,-139,-52,-191,-34,-73.0,-19,-64,-69,-280,25,-173,-56.0,0,-8,-8,14,10,16,-4,-5,-3,-3,-9,-8,-7,16,8,13,3,-9,3,13,-13,-22,-7,7,1
Memphis Grizzlies,Detroit Pistons,1,0,4,-4,-20.0,167,291,0.0030000000000000027,90,205,0.0050000000000000044,85,82,0.01200000000000001,125,80,205,165,67.0,74,31,37,16,102,509,242.0,0,-3,-3,20,-8,-12,-5,-9,-9,-6,-10,-9,-8,-8,-8,-11,-7,7,-12,-6,8,2,-11,-10,-8
Detroit Pistons,Miami Heat,1,0,7,-7,-25.0,185,225,0.010999999999999954,-73,-159,-0.0050000000000000044,105,172,-0.017000000000000015,133,-21,112,-1,104.0,-16,117,31,420,161,402,110.0,0,-6,-6,8,-14,-10,-5,8,6,5,-15,-16,12,-15,3,-8,1,13,4,-21,4,26,-16,-12,-2
Detroit Pistons,Milwaukee Bucks,0,0,-4,4,10.0,58,281,-0.010000000000000009,-110,-102,-0.025000000000000022,-7,-69,0.02400000000000002,257,-143,114,75,121.0,51,47,98,226,-1,-1,-47.0,0,3,3,-9,-2,-11,9,12,4,16,3,6,-8,-19,10,-9,-6,14,-8,-10,15,18,1,1,2
Minnesota Timberwolves,Detroit Pistons,0,0,5,-5,5.0,-139,-181,-0.007999999999999952,182,368,0.015000000000000013,-3,-37,0.015000000000000013,-23,-13,-36,-23,-32.0,2,-25,-45,-197,20,-99,254.0,0,-4,-4,-3,9,8,3,-15,-17,-13,1,5,-10,4,1,2,2,-3,-1,5,-6,-15,-6,1,-9
New Orleans Pelicans,Detroit Pistons,0,0,-23,23,-10.0,-171,5,-0.023999999999999966,-65,-62,-0.015000000000000013,-58,-27,-0.020000000000000018,62,-156,-94,-46,-17.0,49,-2,15,-196,-80,-465,-929.0,0,13,13,9,12,-1,11,7,3,7,11,3,7,-4,14,7,4,-2,-11,1,4,-14,12,13,16
Detroit Pistons,New York Knicks,0,0,-7,7,-15.0,-50,48,-0.010000000000000009,20,107,-0.007000000000000006,57,130,-0.026000000000000023,41,132,173,-89,130.0,-19,107,7,288,-3,-23,-180.0,0,9,9,7,3,-4,8,-4,-5,9,-10,-12,15,-8,-13,-11,4,16,6,-20,1,23,3,3,5
Detroit Pistons,Oklahoma City Thunder,0,0,-24,24,20.0,-157,-237,-0.006000000000000005,-141,-283,-0.01200000000000001,45,154,-0.04499999999999993,60,-62,-2,-37,257.0,-195,-34,21,64,66,-410,-899.0,0,13,13,-20,7,11,6,14,12,11,-8,-15,19,-9,6,2,3,20,18,7,3,2,-10,8,12
Orlando Magic,Detroit Pistons,0,0,-3,3,-15.0,-373,-329,-0.030999999999999972,-130,-9,-0.043999999999999984,50,64,0.0010000000000000009,-17,-222,-239,-278,-53.0,77,57,-52,-47,115,-826,-166.0,0,1,1,14,19,15,14,10,1,13,-6,-4,-1,3,16,14,15,-5,-13,-8,-9,-1,-12,16,4
Detroit Pistons,Philadelphia 76ers,1,0,20,-20,0.0,249,195,0.021999999999999964,10,-149,0.020999999999999963,-25,-18,-0.006000000000000005,79,328,407,264,101.0,-100,65,-7,139,21,483,667.0,0,-12,-12,0,-16,-9,-10,-1,5,-10,4,2,5,-11,-18,-17,-14,12,14,-14,-2,8,-4,-14,-12
Phoenix Suns,Detroit Pistons,0,0,-8,8,5.0,-122,-288,0.0020000000000000018,125,211,0.016000000000000014,-35,-124,0.03600000000000003,-148,-38,-186,112,-65.0,-59,-39,-84,-224,-42,-154,-402.0,0,7,7,-3,8,12,-2,-13,-10,-14,7,11,-18,17,6,12,-5,-6,9,7,-14,-17,7,6,10
Detroit Pistons,Portland Trail Blazers,1,0,8,-8,5.0,178,-33,0.025999999999999968,-6,-194,0.019999999999999962,28,6,0.01200000000000001,-164,163,-1,213,-91.0,-26,-2,-40,137,-30,378,400.0,0,-7,-7,-5,-13,5,-13,1,8,-9,-5,-1,-6,9,-15,1,-12,-8,8,1,-9,6,10,-10,-9
Sacramento Kings,Detroit Pistons,1,0,-4,4,15.0,26,22,0.0020000000000000018,-19,-14,-0.0050000000000000044,-14,-88,0.03200000000000003,-30,-16,-46,4,-126.0,-32,-74,-63,-147,-36,19,-117.0,0,2,2,-7,-1,-4,-1,3,2,2,2,8,-16,5,2,3,-2,-15,6,16,-12,-10,6,-2,3
San Antonio Spurs,Detroit Pistons,0,0,-10,10,-15.0,-77,-1,-0.010999999999999954,107,345,-0.0050000000000000044,-82,-105,0.0,-35,-54,-89,183,-80.0,21,24,-57,-332,-123,-129,-382.0,0,9,9,14,4,1,4,-11,-15,3,13,10,1,6,9,6,-9,-11,-7,-5,-10,-24,15,4,8
Detroit Pistons,Toronto Raptors,1,0,14,-14,0.0,89,-99,0.01799999999999996,82,115,0.014000000000000012,120,97,0.026000000000000023,-103,73,-30,-175,-39.0,-12,83,-71,-43,67,380,508.0,0,-10,-10,0,-5,8,-7,-9,-6,-6,-17,-9,-9,7,-12,3,8,-3,3,-19,-12,-3,-11,-11,-11
Utah Jazz,Detroit Pistons,0,0,-27,27,0.0,-198,-91,-0.021999999999999964,93,366,-0.01200000000000001,7,10,0.0,52,2,54,-72,194.0,-97,-71,114,-146,29,-296,-922.0,0,16,16,0,15,6,9,-10,-16,5,-3,-1,2,-3,-1,-8,5,9,11,15,13,-9,-9,9,15
Washington Wizards,Detroit Pistons,0,0,-26,26,-15.0,-270,8,-0.03699999999999998,24,309,-0.02699999999999997,-99,-136,0.0040000000000000036,-64,-23,-87,-107,58.0,-29,-11,15,-77,-61,-615,-1176.0,0,15,15,14,17,-2,15,-3,-13,12,14,14,-4,10,3,5,10,6,4,2,4,-3,8,15,17
Golden State Warriors,Houston Rockets,0,0,-4,4,-10.0,-142,-247,-0.0040000000000000036,226,537,0.01100000000000001,17,-40,0.026000000000000023,-171,-82,-253,472,13.0,82,-20,-26,14,-54,-41,-99.0,0,7,7,9,10,7,4,-18,-18,-5,-3,5,-5,4,11,6,-24,3,-6,4,-4,3,13,4,3
Indiana Pacers,Golden State Warriors,1,0,2,-2,25.0,232,-86,0.03699999999999998,-183,-541,0.0040000000000000036,12,-43,0.025000000000000022,-277,-14,-291,12,-70.0,-77,57,-75,-38,18,293,-88.0,0,-5,-5,-19,-16,9,-22,12,19,-7,-3,5,-16,24,3,21,-1,-11,5,-11,-14,-8,-3,-10,2
Golden State Warriors,LA Clippers,1,0,-2,2,-15.0,-67,337,-0.030999999999999972,242,737,-0.009000000000000008,-33,35,-0.03300000000000003,188,-58,130,322,-68.0,-2,21,89,68,65,75,-111.0,0,5,5,14,4,-18,19,-21,-27,9,7,-4,18,-18,9,-10,-19,-8,1,-3,18,9,-8,-3,4
Golden State Warriors,Los Angeles Lakers,1,0,-2,2,0.0,-14,405,-0.02799999999999997,172,494,-0.0020000000000000018,-111,-91,-0.02100000000000002,237,5,242,255,7.0,138,24,97,156,-53,33,171.0,0,5,5,0,1,-22,16,-11,-17,2,15,10,12,-22,-1,-19,-14,2,-18,-5,20,18,12,-2,-4
